_id,品名,ゴミの種類,出し方の注意点
868,フードパック（食品の容器）（紙）,リサイクル,紙類
869,仏壇,粗大ごみ,清掃センターに持ち込むか、収集運搬許可業者に依頼して下さい。
870,ブルーシート,燃やすごみ,
871,ブロック（コンクリート）,その他,受付しません
872,ぶんちん,燃やせないごみ,
873,ブーツ,燃やすごみ,
874,プラモデル,燃やせないごみ,
875,プランター,燃やせないごみ,
876,プリンター,燃やせないごみ,
877,ヘアピン,燃やせないごみ,
878,ヘアースプレー【一関・花泉・平泉の地域】,リサイクル,
879,ヘアースプレー【大東・千厩・東山・室根・川崎・藤沢の地域】,燃やせないごみ,
880,ヘアーブラシ,燃やせないごみ,
881,ヘッドホン,リサイクル,小型家電回収。一関市や平泉町の公共施設や清掃センターに設置している回収ボックスに持ち込んでください。（燃やせないごみとして集積所に出すこともできます。）
882,ヘルメット,燃やせないごみ,
883,ベッド（ベッドマット除く）,粗大ごみ,清掃センターに持ち込むか、収集運搬許可業者に依頼して下さい。
884,ベッドマット,粗大ごみ,清掃センターに持ち込むか、収集運搬許可業者に依頼して下さい。
885,ベッドマット（スプリング入り）,その他,受付しません
886,ベビーカー,粗大ごみ,清掃センターに持ち込むか、収集運搬許可業者に依頼して下さい。
887,ベルト（衣類）,燃やせないごみ,
888,便器・便座,燃やせないごみ,
889,弁当の容器（コンビニ弁当など）,リサイクル,プラスチック製容器包装。プラマークの表示があることを確認して下さい。プラマークの表示がないもの、汚れが取れないものは燃やすごみへ。
890,弁当箱,燃やせないごみ,
891,ペットの死体,その他,収集しません。清掃センターに持ち込むか、収集運搬許可業者に依頼して下さい。
892,ペットのふん,燃やすごみ,
893,ペットボトル,リサイクル,ペットボトル
894,ペットボトルのキャップ・ラベル,リサイクル,プラスチック製容器包装。プラマークの表示があることを確認して下さい。プラマークの表示がないもの、汚れが取れないものは燃やすごみへ。
895,ペンキ,その他,受付しません
896,ペン類,燃やせないごみ,
897,ほうき（竹・い草・木）,燃やすごみ,
898,ほうき（竹・い草・木以外）,燃やせないごみ,
899,芳香剤の容器（布・紙）,燃やすごみ,
900,芳香剤の容器（布・紙以外）,燃やせないごみ,
901,包装紙,リサイクル,紙類
902,包丁（危険ごみ）,燃やせないごみ,
903,ほうろう製品（ホーロー鍋など）,燃やせないごみ,
904,保温シート,燃やすごみ,
905,ホチキス,燃やせないごみ,
906,ホットカーペット,その他,収集しません。清掃センターに持ち込むか、収集運搬許可業者に依頼して下さい。
907,ホットプレート,リサイクル,小型家電回収。一関市や平泉町の公共施設や清掃センターに設置している回収ボックスに持ち込んでください。（燃やせないごみとして集積所に出すこともできます。）
908,ほ乳びん,燃やせないごみ,
909,保冷剤,燃やすごみ,
910,本,リサイクル,紙類
911,本立て（ブックエンド）,燃やせないごみ,
912,ホース,燃やすごみ,
913,ホースリール,燃やせないごみ,
914,ホームタンク（200�ｬ未満）,粗大ごみ,清掃センターに持ち込むか、収集運搬許可業者に依頼して下さい。
915,帽子,燃やすごみ,
916,防虫剤の容器（布・紙）,燃やすごみ,
917,防虫剤の容器（布・紙以外）,燃やせないごみ,
918,ボウリングの玉（鉄塊類）,その他,受付しません
919,ボンド・接着剤の容器,燃やすごみ,
920,ボール（球技用）,燃やせないごみ,
921,ボールペン,燃やせないごみ,
922,ポスター,リサイクル,紙類
923,ポット（給湯用）,燃やせないごみ,
924,ポット苗の容器（軟プラスチック製）,リサイクル,プラスチック製容器包装。プラマークの表示があることを確認して下さい。プラマークの表示がないもの、汚れが取れないものは燃やすごみへ。
925,ポリタンク,燃やせないごみ,
926,ポータブルトイレ（簡易トイレ）,燃やせないごみ,
927,マイク,燃やせないごみ,
928,マウス（パソコン用）,リサイクル,小型家電回収。一関市や平泉町の公共施設や清掃センターに設置している回収ボックスに持ち込んでください。（燃やせないごみとして集積所に出すこともできます。）
929,マウスパッド,燃やすごみ,
930,巻き尺,燃やせないごみ,
931,枕,燃やすごみ,
932,マグネット,燃やせないごみ,
933,マジックペン,燃やせないごみ,
934,マスク,燃やすごみ,
935,マッサージチェア,粗大ごみ,清掃センターに持ち込むか、収集運搬許可業者に依頼して下さい。
936,マットレス,粗大ごみ,清掃センターに持ち込むか、収集運搬許可業者に依頼して下さい。
937,マットレス（スプリング入り）,その他,受付しません
938,まな板（木）,燃やすごみ,
939,まな板（木以外）,燃やせないごみ,
940,麻雀牌,燃やせないごみ,
941,みかんなどのネット袋,リサイクル,プラスチック製容器包装。プラマークの表示があることを確認して下さい。プラマークの表示がないもの、汚れが取れないものは燃やすごみへ。
942,ミキサー・ジューサー,燃やせないごみ,
943,ミシン,燃やせないごみ,
944,水切りかご,燃やせないごみ,
945,耳かき（プラスチック・木・竹）,燃やすごみ,
946,耳かき（金属）,燃やせないごみ,
947,ミルク缶（金属）,リサイクル,
948,虫かご,燃やせないごみ,
949,蒸し器,燃やせないごみ,
950,虫めがね,燃やせないごみ,
951,ムース（ヘアムース）　スプレー缶【一関・花泉・平泉の地域】,リサイクル,
952,ムース（ヘアムース）　スプレー缶【大東・千厩・東山・室根・川崎・藤沢の地域】,燃やせないごみ,
953,めがね,燃やせないごみ,
954,めがねケース,燃やせないごみ,
955,目薬の容器,リサイクル,プラスチック製容器包装。プラマークの表示があることを確認して下さい。プラマークの表示がないもの、汚れが取れないものは燃やすごみへ。
956,メモリーカード,リサイクル,小型家電回収。一関市や平泉町の公共施設や清掃センターに設置している回収ボックスに持ち込んでください。（燃やせないごみとして集積所に出すこともできます。）
957,めんつゆの容器（ガラス）,リサイクル,びん。すすいでから出して下さい。油の入ったびんや、汚れが取れないものは燃やせないごみへ。ラベルは、はがさなくても可。
958,めんつゆの容器（ペットボトル）,リサイクル,ペットボトル
959,毛布,粗大ごみ,清掃センターに持ち込むか、収集運搬許可業者に依頼して下さい。
960,木材【一関・花泉・平泉の地域】,粗大ごみ,清掃センターに持ち込むか、収集運搬許可業者に依頼して下さい。
961,木材【大東・千厩・東山・室根・川崎・藤沢の地域】,粗大ごみ,清掃センターに持ち込むか、収集運搬許可業者に依頼して下さい。
962,餅,燃やすごみ,
963,餅つき器,粗大ごみ,清掃センターに持ち込むか、収集運搬許可業者に依頼して下さい。
964,モップ（毛の部分）,燃やすごみ,
965,モップ（枝の部分）,燃やせないごみ,
966,物干し竿,粗大ごみ,清掃センターに持ち込むか、収集運搬許可業者に依頼して下さい。
967,モバイルバッテリー,その他,受付しません
968,モーター類（機械用）,その他,受付しません
969,モーター類（おもちゃ用）,燃やせないごみ,
970,やかん,燃やせないごみ,
971,薬品（劇薬）・農薬類,その他,受付しません
972,やすり（紙）,燃やすごみ,
973,やすり（金属）,燃やせないごみ,
974,油圧ジャッキ,その他,受付しません
975,雪かき機,燃やせないごみ,
976,湯たんぽ,燃やせないごみ,
977,湯飲み茶碗,燃やせないごみ,
978,ゆりかご,粗大ごみ,清掃センターに持ち込むか、収集運搬許可業者に依頼して下さい。
979,湯沸かし器（家庭用）,粗大ごみ,清掃センターに持ち込むか、収集運搬許可業者に依頼して下さい。
980,ＵＳＢメモリー,リサイクル,小型家電回収。一関市や平泉町の公共施設や清掃センターに設置している回収ボックスに持ち込んでください。（燃やせないごみとして集積所に出すこともできます。）
981,ヨーグルトの容器（紙・アルミ）,燃やすごみ,
982,ヨーグルトの容器（プラスチック）,リサイクル,プラスチック製容器包装。プラマークの表示があることを確認して下さい。プラマークの表示がないもの、汚れが取れないものは燃やすごみへ。
983,ライター【一関・花泉・平泉の地域】,燃やすごみ,
984,ライター【大東・千厩・東山・室根・川崎・藤沢の地域】,燃やせないごみ,
985,ラグマット,粗大ごみ,清掃センターに持ち込むか、収集運搬許可業者に依頼して下さい。
986,ラケット,燃やせないごみ,
987,ラジオ、ラジカセ,リサイクル,小型家電回収。一関市や平泉町の公共施設や清掃センターに設置している回収ボックスに持ち込んでください。（燃やせないごみとして集積所に出すこともできます。）
988,ラジコン,燃やせないごみ,
989,ラップ,燃やすごみ,
990,ラムネのびん,リサイクル,びん。すすいでから出して下さい。油の入ったびんや、汚れが取れないものは燃やせないごみへ。ラベルは、はがさなくても可。
991,ランタン,燃やせないごみ,
992,ランチジャー（保温弁当箱）,燃やせないごみ,
993,ランドセル,燃やせないごみ,
994,ランニングマシーン,粗大ごみ,清掃センターに持ち込むか、収集運搬許可業者に依頼して下さい。
995,リコーダー,燃やせないごみ,
996,リチウムイオン電池,その他,受付しません
997,リチウム電池,燃やせないごみ,
998,リップクリーム,燃やすごみ,
999,リビングボード,粗大ごみ,清掃センターに持ち込むか、収集運搬許可業者に依頼して下さい。
1000,リモコン,リサイクル,小型家電回収。一関市や平泉町の公共施設や清掃センターに設置している回収ボックスに持ち込んでください。（燃やせないごみとして集積所に出すこともできます。）
1001,リヤカー,粗大ごみ,清掃センターに持ち込むか、収集運搬許可業者に依頼して下さい。
1002,リュックサック,燃やせないごみ,
1003,料理くず,燃やすごみ,
1004,旅行用変圧器,燃やせないごみ,
1005,りんごなどを包んだ発泡スチロール製ネット,リサイクル,プラスチック製容器包装。プラマークの表示があることを確認して下さい。プラマークの表示がないもの、汚れが取れないものは燃やすごみへ。
1006,リール,燃やせないごみ,
1007,ルーフボックス,その他,受付しません
1008,ルーペ,燃やせないごみ,
1009,ルーレット,燃やせないごみ,
1010,冷蔵庫・冷凍庫・冷温庫,その他,家電リサイクル法対象機器です。受付しません。分解しても収集できません。
1011,冷風機,その他,収集しません。清掃センターに持ち込むか、収集運搬許可業者に依頼して下さい。
1012,レコード（本体）,燃やせないごみ,
1013,レコード（ケース）,燃やすごみ,
1014,レコードプレーヤー,燃やせないごみ,
1015,レシート（感熱紙）,燃やすごみ,
1016,レジ袋,リサイクル,プラスチック製容器包装。プラマークの表示があることを確認して下さい。プラマークの表示がないもの、汚れが取れないものは燃やすごみへ。
1017,レジャーシート,燃やすごみ,
1018,レトルトパック,燃やすごみ,
1019,レンガ,その他,受付しません
1020,レンジ,燃やせないごみ,
1021,レンジガード,燃やせないごみ,
1022,ろうそく,燃やすごみ,
1023,ロッカー,粗大ごみ,清掃センターに持ち込むか、収集運搬許可業者に依頼して下さい。
1024,ロープ,燃やすごみ,
1025,ローボード（家具）,粗大ごみ,清掃センターに持ち込むか、収集運搬許可業者に依頼して下さい。
1026,ローラースケート,燃やせないごみ,
1027,ワイヤーロープ,その他,収集しません。清掃センターに持ち込むか、収集運搬許可業者に依頼して下さい。
1028,ワイン庫（ワインセラー）,その他,家電リサイクル法対象機器です。受付しません。分解しても収集できません。
1029,ワインのびん,リサイクル,びん。すすいでから出して下さい。油の入ったびんや、汚れが取れないものは燃やせないごみへ。ラベルは、はがさなくても可。
1030,輪ゴム,燃やすごみ,
1031,ワープロ,リサイクル,小型家電回収。一関市や平泉町の公共施設や清掃センターに設置している回収ボックスに持ち込んでください。（燃やせないごみとして集積所に出すこともできます。）
,厚紙(アルミコーティング),燃やすごみ,
,厚紙(ビニール付着),燃やすごみ,
